id_operator,id_document,designation,item_code,ia_product,id_etablishment,conditioning_unit,quantity,unit_price_without_tax,item_discount
47,36049,"Frite tradistyle bitemp 2,5KGx5 McCain",36614,frite 9/9,264,KG,5.0,3.0,0.0
47,36049,SH bf 15% selec bouch rd VBF(180Gx34)Cha,68189,steak hache boeuf boucher 180,264,KG,6.12,11.4,0.0
47,36050,Ail pele 4G 1KX12 CN°,197940,ail pele,264,KG,1.0,6.55,0.0
47,36050,Aiguillette merlu fishandchips MSC800gX4,286705,merlu,264,KG,1.6,7.0,0.0
47,36050,Sal jp roquette 500gX2 100% IT°°,103536,jeune pousse roquette,264,KG,4.0,5.2,0.0
47,36050,Sal jp roquette 500gX2 100% IT°°,103536,jeune pousse roquette,264,KG,1.0,5.2,0.0
47,36050,Oignon rge 50/70 5K c1 FR,106534,oignon rouge,264,KG,5.0,1.9,0.0
47,36050,Champ paris bl moy PC 3K c1 PL,106921,champignon blanc,264,KG,12.0,2.95,0.0
47,36050,Courgette 14/21 1KX10 c1 ES,107447,courgette,264,KG,3.0,1.853,0.0
47,36050,HF menthe botte nue 100g FR,111540,menthe botte,264,BOT,2.0,1.9,0.0
47,36050,"Tom cotelee rge 3,5K c2 FR",112068,tomate cotelee,264,KG,10.5,2.75,0.0
47,36050,"Tom cotelee mixte 3,5K c2 FR",112166,tomate cotelee,264,KG,7.0,2.75,0.0
47,36050,HF persil plat 1K FR,112900,persil botte,264,KG,1.0,4.9,0.0
47,36050,Sal iceberg 10P ~5K c1 ES,113244,salade iceberg,264,PU,30.0,1.15,0.0
47,36050,Sal iceberg 10P ~5K c1 ES,113244,salade iceberg,264,PU,50.0,1.15,0.0
47,36050,Sal coeur sucrine flow 3PX12 c1 ES,113272,salade sucrine,264,SAC,8.0,1.71,0.0
47,36050,Sal coeur sucrine flow 3PX12 c1 ES,113272,salade sucrine,264,SAC,12.0,1.71,0.0
47,36050,Sal mache bq 500gX2 100% c1 FR°°,113315,salade mache,264,KG,2.0,6.84,0.0
47,36050,Sal mache bq 500gX2 100% c1 FR°°,113315,salade mache,264,KG,2.0,6.84,0.0
47,36050,Fraise ronde film bq 500gX8 c1 BE,120450,fraise,264,BQT,1.0,5.74,0.0
47,36050,Courge butternut ~10K ~10P FR,138941,courge butternut,264,KG,1.0,2.34,0.0
47,36050,Champ paris bl moy PC 3K c1 REG,157419,champignon blanc,264,KG,6.0,2.95,0.0
47,36050,"Tom cotelee nr 3,5K c2 FR",160811,tomate cotelee,264,KG,10.5,2.75,0.0
47,36050,Radis blue meat ~5K FR°°,166413,radis blue meat,264,KG,2.0,4.365,0.0
47,36050,Radis blue meat ~5K FR°°,166413,radis blue meat,264,KG,5.0,4.114,0.0
47,36050,Tom cer rde mixte 4K c2 REG,175595,tomate cerise rouge,264,KG,8.0,6.555,0.0
47,36050,Tom cer rde mixte 4K c2 REG,175595,tomate cerise rouge,264,KG,8.0,6.555,0.0
47,36050,Poivron rouge 80/100 1KX5 c1 REG,178967,poivron rouge entier,264,KG,3.0,3.813,0.0
47,36050,Tom cer mixte 1K Azura c1 MA,187144,tomate cerise rouge,264,KG,2.0,6.555,0.0
47,36050,HF basilic sac 100g KE,195823,basilic frais,264,SAC,14.0,1.9,0.0
47,36050,HF basilic sac 100g KE,195823,basilic frais,264,SAC,3.0,1.9,0.0
47,36050,Fraise ronde plt 1K c1 REG,201596,fraise,264,KG,1.0,9.41,0.0
47,36050,Fleur viola 1bq FR,209681,sel fleur,264,BQT,15.0,6.555,0.0
47,36050,Concombre 300/400 HVE 12P c1 FR,222139,concombre,264,PU,12.0,1.14,0.0
47,36050,Aubergine 300/400 HVE plt 5K B&E c1 REG°,244337,aubergine entiere,264,KG,5.0,1.6,0.0
47,36050,Puree avocat HPP dec 1KX6 JDM,287682,puree abricot,264,KG,5.0,10.5,0.0
47,36050,Palourde japonaise el moyen 3K,101829,palourde,264,KG,15.0,10.9,0.0
47,36051,Sal iceberg 10P ~8K c1 NL,113246,salade iceberg,264,PU,-20.0,1.15,0.0
47,36052,Sal jp roquette 500gX2 100% IT°°,103536,jeune pousse roquette,264,KG,2.0,5.2,0.0
47,36052,Fleur pensee bleue 1bq FR,107660,fleur pense,264,BQT,1.0,6.56,0.0
47,36052,HF romarin sac 100g MA,110660,romarin,264,SAC,1.0,1.9,0.0
47,36052,Ananas xsweet 9F B&E c1 CR°,122984,ananas sweet,264,KG,1.2,2.433,0.0
